"license_id","employee_id","license_name","expiry_date"
23197,966071796,"Tour Guide Level 2","2022-07-17"
69601,630103533,"Customer Privacy Training","2022-07-17"
63568,552480678,"Tour Guide Level 2","2022-07-18"
56818,812945635,"Corporate Travel Cert","2022-07-20"
43044,898264930,"Tour Guide Level 1","2022-07-21"
34997,394548064,"IATA Agent","2022-07-22"
51449,657278521,"Corporate Travel Cert","2022-07-22"
24904,576045318,"Advanced Ticketing Cert","2022-07-23"
42964,132348386,"Tour Guide Level 2","2022-07-23"
61062,142103722,"Tour Guide Level 1","2022-07-24"
69628,388953176,"IATA Agent","2022-07-24"
67606,838128586,"Advanced Ticketing Cert","2022-07-25"
27101,752587628,"VAT Handling Cert","2022-07-26"
31079,235907279,"Security Screening Training","2022-07-26"
37295,605197706,"Customer Privacy Training","2022-07-27"
66719,303419817,"VAT Handling Cert","2022-07-27"
70386,209087041,"AML Awareness","2022-07-29"
97266,596618939,"Security Screening Training","2022-07-29"
41614,499661511,"Fraud Prevention Cert","2022-07-31"
2257,918839575,"Security Screening Training","2022-08-01"
72132,311468415,"Senior Agent Accreditation","2022-08-02"
65164,416744778,"IATA Agent","2022-08-04"
78888,656537922,"IATA Agent","2022-08-05"
79103,831554579,"Security Screening Training","2022-08-05"
49612,466052187,"Tour Guide Level 2","2022-08-06"
10951,800305214,"Fraud Prevention Cert","2022-08-08"
36028,760173610,"VAT Handling Cert","2022-08-08"
49173,307818327,"AML Awareness","2022-08-08"
85364,115832566,"Senior Agent Accreditation","2022-08-09"
25516,709403307,"Advanced Ticketing Cert","2022-08-10"
39961,198423660,"Tour Guide Level 1","2022-08-11"
85725,866366853,"VAT Handling Cert","2022-08-12"
42424,134850101,"Customer Privacy Training","2022-08-13"
88475,155964901,"IATA Agent","2022-08-15"
50205,282186436,"Security Screening Training","2022-08-16"
73026,730955469,"Advanced Ticketing Cert","2022-08-16"
10941,167661277,"Senior Agent Accreditation","2022-08-19"
74533,983637278,"Fraud Prevention Cert","2022-08-19"
70056,454393110,"Advanced Ticketing Cert","2022-08-20"
2005,168562927,"IATA Agent","2022-08-23"
12074,161038241,"VAT Handling Cert","2022-08-23"
20310,461286283,"API Access Approval","2022-08-23"
36299,935052323,"Tour Guide Level 2","2022-08-26"
97525,510909778,"IATA Agent","2022-08-26"
19248,116839001,"Senior Agent Accreditation","2022-08-28"
37797,567310596,"Security Screening Training","2022-08-28"
66133,900184993,"Corporate Travel Cert","2022-08-28"
84112,231793456,"Security Screening Training","2022-08-28"
91536,627854097,"Security Screening Training","2022-08-28"
6682,459714872,"VAT Handling Cert","2022-08-29"
30791,381010666,"VAT Handling Cert","2022-08-29"
45454,857828658,"Corporate Travel Cert","2022-08-30"
20534,157325146,"VAT Handling Cert","2022-08-31"
34687,118494245,"Senior Agent Accreditation","2022-08-31"
53596,588866237,"Tour Guide Level 1","2022-09-01"
5964,132829794,"Security Screening Training","2022-09-05"
43455,599778800,"Advanced Ticketing Cert","2022-09-05"
36066,681214549,"Senior Agent Accreditation","2022-09-07"
59296,765669319,"API Access Approval","2022-09-07"
75312,494890261,"Tour Guide Level 1","2022-09-08"
15986,268183697,"Fraud Prevention Cert","2022-09-10"
10336,430667496,"Senior Agent Accreditation","2022-09-12"
42671,526127417,"Tour Guide Level 1","2022-09-12"
47838,960869609,"VAT Handling Cert","2022-09-12"
13060,467473319,"VAT Handling Cert","2022-09-13"
5815,213741405,"Tour Guide Level 1","2022-09-14"
71502,647645032,"Corporate Travel Cert","2022-09-14"
63471,839031816,"Customer Privacy Training","2022-09-15"
63777,605665166,"Senior Agent Accreditation","2022-09-18"
12630,852753565,"Tour Guide Level 1","2022-09-20"
20137,782131782,"API Access Approval","2022-09-20"
68667,996982360,"VAT Handling Cert","2022-09-20"
76755,462450099,"IATA Agent","2022-09-20"
91515,488026554,"VAT Handling Cert","2022-09-20"
8560,378967582,"IATA Agent","2022-09-21"
82651,903835782,"Security Screening Training","2022-09-21"
86410,911833404,"Fraud Prevention Cert","2022-09-21"
697,875051714,"Security Screening Training","2022-09-22"
98128,647930047,"AML Awareness","2022-09-22"
32066,844238274,"Advanced Ticketing Cert","2022-09-23"
33629,423945881,"Senior Agent Accreditation","2022-09-23"
43597,867311969,"Tour Guide Level 1","2022-09-23"
52312,831839053,"Security Screening Training","2022-09-24"
98172,781143725,"Security Screening Training","2022-09-25"
73725,966509897,"Customer Privacy Training","2022-09-26"
38986,304801011,"Security Screening Training","2022-09-27"
10284,935058625,"AML Awareness","2022-09-28"
26530,422904382,"Tour Guide Level 2","2022-09-29"
29771,264534150,"Tour Guide Level 1","2022-09-29"
96842,126993782,"Fraud Prevention Cert","2022-09-30"
8717,239695795,"Advanced Ticketing Cert","2022-10-01"
17725,968327278,"Tour Guide Level 1","2022-10-01"
24971,318006266,"Tour Guide Level 1","2022-10-01"
67848,898944555,"Advanced Ticketing Cert","2022-10-01"
69378,850310610,"Senior Agent Accreditation","2022-10-01"
72309,805782306,"Tour Guide Level 2","2022-10-01"
48199,578347747,"Security Screening Training","2022-10-04"
70336,950757422,"Fraud Prevention Cert","2022-10-04"
34939,675286527,"Security Screening Training","2022-10-05"
42305,495862733,"Advanced Ticketing Cert","2022-10-05"
46952,285905912,"IATA Agent","2022-10-05"
56200,567947686,"Corporate Travel Cert","2022-10-05"
5172,380710168,"Senior Agent Accreditation","2022-10-06"
10298,292021350,"Security Screening Training","2022-10-07"
33122,846186260,"Customer Privacy Training","2022-10-09"
49125,251082308,"VAT Handling Cert","2022-10-11"
58181,608138169,"VAT Handling Cert","2022-10-14"
13071,136261404,"AML Awareness","2022-10-16"
88983,690545971,"Tour Guide Level 2","2022-10-16"
49303,462333960,"Corporate Travel Cert","2022-10-18"
3669,800940682,"Tour Guide Level 2","2022-10-19"
11816,116761157,"Tour Guide Level 1","2022-10-19"
37947,109533732,"API Access Approval","2022-10-19"
39635,996600105,"Tour Guide Level 1","2022-10-19"
59481,326601122,"AML Awareness","2022-10-19"
97081,257254402,"IATA Agent","2022-10-19"
8900,968865683,"API Access Approval","2022-10-20"
32381,414918465,"Tour Guide Level 1","2022-10-23"
48443,991613726,"Senior Agent Accreditation","2022-10-24"
51233,135849580,"IATA Agent","2022-10-24"
6939,463603946,"Security Screening Training","2022-10-25"
64730,721159412,"AML Awareness","2022-10-25"
44010,174858393,"Corporate Travel Cert","2022-10-26"
64354,261389458,"Tour Guide Level 2","2022-10-26"
31225,579405288,"Security Screening Training","2022-10-27"
4140,675261017,"Customer Privacy Training","2022-10-29"
5381,126194541,"Security Screening Training","2022-10-29"
53587,887344951,"Security Screening Training","2022-10-31"
82394,990193435,"IATA Agent","2022-10-31"
17879,627074955,"Senior Agent Accreditation","2022-11-01"
32501,139568723,"Tour Guide Level 2","2022-11-01"
92621,613156866,"Security Screening Training","2022-11-01"
29970,348576794,"Corporate Travel Cert","2022-11-02"
54571,733257050,"Customer Privacy Training","2022-11-05"
37127,704519856,"Security Screening Training","2022-11-06"
76489,823175585,"Security Screening Training","2022-11-07"
79100,170975596,"API Access Approval","2022-11-07"
60359,789045840,"Advanced Ticketing Cert","2022-11-08"
68662,700899563,"Fraud Prevention Cert","2022-11-08"
94649,843307098,"Advanced Ticketing Cert","2022-11-09"
6852,627437571,"Corporate Travel Cert","2022-11-10"
1361,423053929,"Security Screening Training","2022-11-12"
11505,996199164,"Tour Guide Level 1","2022-11-14"
45502,781798048,"VAT Handling Cert","2022-11-14"
95003,593269099,"IATA Agent","2022-11-14"
22438,251696573,"Tour Guide Level 2","2022-11-15"
28772,972290454,"Fraud Prevention Cert","2022-11-15"
63291,845623636,"Advanced Ticketing Cert","2022-11-15"
64416,489584937,"Advanced Ticketing Cert","2022-11-16"
73269,881459379,"Security Screening Training","2022-11-16"
77004,641095492,"Security Screening Training","2022-11-16"
8262,725882740,"Senior Agent Accreditation","2022-11-17"
58825,106556243,"VAT Handling Cert","2022-11-17"
49803,111287144,"Customer Privacy Training","2022-11-18"
99602,951577517,"Advanced Ticketing Cert","2022-11-18"
1771,831871553,"Fraud Prevention Cert","2022-11-19"
21490,548942257,"Security Screening Training","2022-11-19"
50438,783572319,"AML Awareness","2022-11-19"
56418,765853517,"AML Awareness","2022-11-19"
43009,188346437,"IATA Agent","2022-11-20"
23090,719985946,"API Access Approval","2022-11-21"
46747,857932623,"Tour Guide Level 1","2022-11-21"
98434,453432599,"IATA Agent","2022-11-21"
33948,344080302,"Tour Guide Level 1","2022-11-24"
6605,673757922,"Customer Privacy Training","2022-11-25"
39365,604153841,"Fraud Prevention Cert","2022-11-25"
41172,953829758,"Fraud Prevention Cert","2022-11-25"
1328,792912132,"Advanced Ticketing Cert","2022-11-26"
1329,792912132,"Tour Guide Level 2","2022-11-26"
20963,790879292,"Advanced Ticketing Cert","2022-11-28"
64953,341593719,"Security Screening Training","2022-11-28"
80568,183671071,"Security Screening Training","2022-11-28"
24530,252443903,"AML Awareness","2022-12-03"
77181,159299698,"Security Screening Training","2022-12-03"
41922,161026616,"Tour Guide Level 2","2022-12-04"
61247,268249603,"Tour Guide Level 1","2022-12-04"
94,875421144,"AML Awareness","2022-12-06"
66820,944897298,"Security Screening Training","2022-12-07"
76423,336902423,"API Access Approval","2022-12-07"
79585,729957087,"Senior Agent Accreditation","2022-12-07"
89570,915061328,"AML Awareness","2022-12-07"
5399,711956294,"Senior Agent Accreditation","2022-12-08"
33326,457220338,"API Access Approval","2022-12-10"
95205,751377429,"AML Awareness","2022-12-10"
40467,845588715,"API Access Approval","2022-12-11"
14887,641731934,"Tour Guide Level 1","2022-12-12"
73673,654440940,"Fraud Prevention Cert","2022-12-12"
38958,292753931,"Security Screening Training","2022-12-13"
61450,134521759,"Customer Privacy Training","2022-12-14"
99143,311702883,"VAT Handling Cert","2022-12-14"
6158,512451423,"Corporate Travel Cert","2022-12-15"
57992,819071754,"Corporate Travel Cert","2022-12-16"
75250,823337709,"Corporate Travel Cert","2022-12-16"
44519,822522865,"Advanced Ticketing Cert","2022-12-18"
97224,230768835,"API Access Approval","2022-12-18"
42289,383694181,"Advanced Ticketing Cert","2022-12-19"
90233,711408898,"IATA Agent","2022-12-19"
90792,136945504,"API Access Approval","2022-12-19"
24821,237764227,"API Access Approval","2022-12-20"
52406,845043464,"IATA Agent","2022-12-20"
54726,724747102,"API Access Approval","2022-12-20"
42133,581874327,"AML Awareness","2022-12-23"
63509,913223180,"Senior Agent Accreditation","2022-12-24"
27670,521129190,"Corporate Travel Cert","2022-12-25"
50908,818958960,"Security Screening Training","2022-12-25"
51595,648192082,"Tour Guide Level 1","2022-12-25"
78544,867971355,"Corporate Travel Cert","2022-12-25"
94741,111515814,"AML Awareness","2022-12-25"
78002,175046001,"AML Awareness","2022-12-26"
10952,800305214,"Advanced Ticketing Cert","2022-12-27"
27885,192344195,"Customer Privacy Training","2022-12-28"
3070,308200907,"AML Awareness","2022-12-29"
80238,380212267,"Tour Guide Level 2","2023-01-02"
98218,582818490,"Corporate Travel Cert","2023-01-02"
14314,659125906,"Customer Privacy Training","2023-01-03"
55821,918735298,"Senior Agent Accreditation","2023-01-03"
33866,139943503,"AML Awareness","2023-01-04"
43929,860393876,"Fraud Prevention Cert","2023-01-05"
53769,339997922,"Customer Privacy Training","2023-01-05"
81112,152666010,"Security Screening Training","2023-01-05"
89401,320405939,"Security Screening Training","2023-01-05"
19467,566168904,"Tour Guide Level 1","2023-01-06"
73868,302172732,"Security Screening Training","2023-01-07"
40869,995763663,"AML Awareness","2023-01-08"
65177,868967308,"Senior Agent Accreditation","2023-01-08"
84840,250987768,"Senior Agent Accreditation","2023-01-08"
52227,399442410,"Security Screening Training","2023-01-09"
52265,759397628,"Corporate Travel Cert","2023-01-09"
90459,630836599,"Tour Guide Level 2","2023-01-10"
24191,527057153,"Security Screening Training","2023-01-11"
27929,828496994,"API Access Approval","2023-01-11"
16517,320138392,"Tour Guide Level 1","2023-01-12"
19789,219684983,"Senior Agent Accreditation","2023-01-12"
19139,108385001,"Tour Guide Level 1","2023-01-13"
85627,295137562,"VAT Handling Cert","2023-01-13"
3903,866172669,"Fraud Prevention Cert","2023-01-14"
18961,953326776,"Senior Agent Accreditation","2023-01-14"
28932,674283917,"Customer Privacy Training","2023-01-14"
80246,560943479,"Corporate Travel Cert","2023-01-14"
13562,810862250,"Tour Guide Level 1","2023-01-15"
35760,704621629,"API Access Approval","2023-01-15"
4568,243822973,"API Access Approval","2023-01-16"
5594,991914262,"Tour Guide Level 2","2023-01-16"
27688,254938049,"VAT Handling Cert","2023-01-17"
33204,467379501,"Advanced Ticketing Cert","2023-01-19"
34795,381290978,"Tour Guide Level 1","2023-01-19"
45500,781798048,"Fraud Prevention Cert","2023-01-19"
49086,302512653,"Fraud Prevention Cert","2023-01-19"
97358,724511952,"Security Screening Training","2023-01-19"
24319,576279515,"Advanced Ticketing Cert","2023-01-21"
28805,310705739,"Fraud Prevention Cert","2023-01-21"
97115,811115370,"AML Awareness","2023-01-21"
9708,410252104,"API Access Approval","2023-01-23"
45462,496914525,"Advanced Ticketing Cert","2023-01-23"
84113,949160962,"Customer Privacy Training","2023-01-24"
41630,686565104,"IATA Agent","2023-01-25"
16530,193157318,"Advanced Ticketing Cert","2023-01-26"
80771,409273627,"Corporate Travel Cert","2023-01-26"
13884,647110833,"Tour Guide Level 2","2023-01-28"
76323,522895847,"Advanced Ticketing Cert","2023-01-28"
89055,784279439,"Fraud Prevention Cert","2023-01-29"
70371,904009068,"Tour Guide Level 2","2023-01-31"
90037,999900474,"VAT Handling Cert","2023-02-02"
64628,425417063,"Security Screening Training","2023-02-03"
81008,651996345,"IATA Agent","2023-02-03"
81058,300451982,"IATA Agent","2023-02-03"
52056,883014059,"Advanced Ticketing Cert","2023-02-04"
1398,882785918,"IATA Agent","2023-02-05"
19091,766274400,"Senior Agent Accreditation","2023-02-05"
25590,593558253,"API Access Approval","2023-02-05"
70476,595512158,"Advanced Ticketing Cert","2023-02-05"
16471,640440561,"Tour Guide Level 1","2023-02-06"
44342,296863408,"Fraud Prevention Cert","2023-02-06"
15257,901071772,"Tour Guide Level 1","2023-02-08"
74052,356527805,"IATA Agent","2023-02-08"
25315,262088017,"IATA Agent","2023-02-11"
82281,138348602,"Security Screening Training","2023-02-11"
12632,609398940,"Fraud Prevention Cert","2023-02-12"
58798,174394961,"Security Screening Training","2023-02-12"
32818,640224776,"Advanced Ticketing Cert","2023-02-13"
50082,725496796,"Fraud Prevention Cert","2023-02-13"
84274,284567684,"IATA Agent","2023-02-13"
43053,230773429,"Tour Guide Level 2","2023-02-15"
49596,429635304,"AML Awareness","2023-02-15"
75583,305327150,"Tour Guide Level 2","2023-02-15"
10202,669816851,"Fraud Prevention Cert","2023-02-16"
8407,542494986,"Tour Guide Level 1","2023-02-17"
65927,359722085,"AML Awareness","2023-02-17"
67168,528912887,"Tour Guide Level 2","2023-02-17"
78293,430232773,"API Access Approval","2023-02-17"
79820,981261877,"Corporate Travel Cert","2023-02-17"
98793,472523724,"Senior Agent Accreditation","2023-02-17"
22328,453640733,"IATA Agent","2023-02-18"
15774,352181859,"Customer Privacy Training","2023-02-19"
68428,414754963,"API Access Approval","2023-02-19"
86928,271508651,"Corporate Travel Cert","2023-02-19"
21714,798230021,"IATA Agent","2023-02-21"
63557,150885397,"Fraud Prevention Cert","2023-02-21"
27312,789296688,"API Access Approval","2023-02-23"
809,218590638,"Tour Guide Level 1","2023-02-26"
49854,858265110,"VAT Handling Cert","2023-02-26"
56748,716210293,"Fraud Prevention Cert","2023-02-26"
67530,547318998,"Tour Guide Level 1","2023-02-26"
69986,322467284,"Customer Privacy Training","2023-02-26"
95053,623532128,"Tour Guide Level 2","2023-02-27"
61880,740702147,"AML Awareness","2023-02-28"
30304,849748708,"IATA Agent","2023-03-01"
80952,338793767,"Security Screening Training","2023-03-01"
11321,990580058,"Customer Privacy Training","2023-03-02"
31384,691708809,"IATA Agent","2023-03-02"
37192,737025379,"API Access Approval","2023-03-03"
76052,891089635,"Fraud Prevention Cert","2023-03-03"
2349,206852086,"API Access Approval","2023-03-04"
16656,457810099,"Security Screening Training","2023-03-04"
19444,257271819,"Security Screening Training","2023-03-04"
27721,655747953,"VAT Handling Cert","2023-03-04"
69666,245113719,"Tour Guide Level 1","2023-03-04"
74444,992547097,"Senior Agent Accreditation","2023-03-06"
81959,438473539,"Security Screening Training","2023-03-06"
91863,937920212,"Customer Privacy Training","2023-03-06"
64638,969075570,"Corporate Travel Cert","2023-03-08"
26284,958607334,"VAT Handling Cert","2023-03-09"
29733,703468942,"VAT Handling Cert","2023-03-09"
85140,654980030,"Advanced Ticketing Cert","2023-03-09"
92569,270883608,"VAT Handling Cert","2023-03-10"
33903,215192491,"Fraud Prevention Cert","2023-03-11"
82219,307801135,"Customer Privacy Training","2023-03-11"
33238,914948124,"Senior Agent Accreditation","2023-03-14"
36757,698617388,"Advanced Ticketing Cert","2023-03-14"
54295,796972984,"Senior Agent Accreditation","2023-03-14"
76140,565915304,"Tour Guide Level 2","2023-03-14"
76321,522895847,"Fraud Prevention Cert","2023-03-14"
952,330633921,"Security Screening Training","2023-03-15"
4023,197571928,"Advanced Ticketing Cert","2023-03-15"
16632,480588058,"VAT Handling Cert","2023-03-15"
18630,582715770,"Senior Agent Accreditation","2023-03-15"
20766,927811452,"Senior Agent Accreditation","2023-03-15"
14517,432477246,"Senior Agent Accreditation","2023-03-16"
23934,754049094,"Tour Guide Level 2","2023-03-16"
63029,155542471,"Customer Privacy Training","2023-03-16"
11002,511007367,"Security Screening Training","2023-03-17"
20368,210212126,"IATA Agent","2023-03-17"
47397,832322384,"VAT Handling Cert","2023-03-18"
54418,509139009,"Tour Guide Level 1","2023-03-18"
78624,185421158,"IATA Agent","2023-03-19"
6950,392893866,"Corporate Travel Cert","2023-03-20"
94615,914160304,"AML Awareness","2023-03-22"
22412,682669332,"Security Screening Training","2023-03-23"
18536,725174911,"Tour Guide Level 1","2023-03-24"
94365,749354459,"Tour Guide Level 1","2023-03-24"
9099,545040599,"Tour Guide Level 2","2023-03-25"
39366,864300367,"AML Awareness","2023-03-25"
57066,182763583,"Tour Guide Level 2","2023-03-25"
29014,588033073,"API Access Approval","2023-03-27"
84551,780747147,"Fraud Prevention Cert","2023-03-28"
80367,991740544,"Tour Guide Level 1","2023-03-29"
89738,353383673,"Corporate Travel Cert","2023-03-29"
63030,155542471,"Security Screening Training","2023-03-30"
75173,932386917,"API Access Approval","2023-03-30"
7283,646306568,"Security Screening Training","2023-03-31"
25850,815311667,"Tour Guide Level 1","2023-03-31"
45479,399959570,"Security Screening Training","2023-03-31"
18492,564065944,"Fraud Prevention Cert","2023-04-01"
34082,112926710,"Security Screening Training","2023-04-01"
46297,408417526,"Advanced Ticketing Cert","2023-04-01"
47324,846301282,"Tour Guide Level 1","2023-04-01"
69529,390552816,"Fraud Prevention Cert","2023-04-01"
69403,250592834,"Corporate Travel Cert","2023-04-02"
5616,462567809,"Security Screening Training","2023-04-03"
34804,964194046,"API Access Approval","2023-04-03"
40812,834462337,"Advanced Ticketing Cert","2023-04-03"
93406,250247217,"Advanced Ticketing Cert","2023-04-03"
28884,689757927,"Advanced Ticketing Cert","2023-04-04"
55267,310255286,"API Access Approval","2023-04-04"
72119,670903276,"Corporate Travel Cert","2023-04-04"
41596,491032624,"AML Awareness","2023-04-05"
2962,360485864,"IATA Agent","2023-04-07"
39899,650723228,"Tour Guide Level 2","2023-04-07"
47407,401046415,"Advanced Ticketing Cert","2023-04-07"
36044,107044686,"Advanced Ticketing Cert","2023-04-08"
52961,573409073,"Customer Privacy Training","2023-04-08"
61510,708974701,"API Access Approval","2023-04-08"
92464,348859133,"Advanced Ticketing Cert","2023-04-08"
2027,579307057,"Customer Privacy Training","2023-04-09"
67423,603097766,"Advanced Ticketing Cert","2023-04-09"
