"month","payments_count","total_paid","avg_payment","smallest_payment","largest_payment"
"2027-06-01 00:00:00+03","2279","17690476.18","7762.39","809.73","14999.34"
"2027-05-01 00:00:00+03","2343","18741066.85","7998.75","811.92","14980.10"
"2027-04-01 00:00:00+03","2149","16864346.18","7847.53","810.50","14996.09"
"2027-03-01 00:00:00+02","2151","16943342.07","7876.96","807.97","14996.44"
"2027-02-01 00:00:00+02","1920","15220602.74","7927.40","802.76","14986.24"
"2027-01-01 00:00:00+02","2059","16169394.61","7853.03","804.09","14996.93"
"2026-12-01 00:00:00+02","2054","16272733.46","7922.46","812.48","14981.07"
"2026-11-01 00:00:00+02","1931","14967969.29","7751.41","814.51","14991.58"
"2026-10-01 00:00:00+03","1946","15310296.20","7867.57","803.96","14996.34"
"2026-09-01 00:00:00+03","1799","14620105.23","8126.80","806.13","14999.79"
"2026-08-01 00:00:00+03","1707","13655033.86","7999.43","824.56","14987.24"
"2026-07-01 00:00:00+03","1820","14338708.36","7878.41","810.63","14991.96"
"2026-06-01 00:00:00+03","1713","13499406.56","7880.56","805.69","14994.62"
"2026-05-01 00:00:00+03","1743","13412475.36","7695.05","801.02","14982.52"
"2026-04-01 00:00:00+03","1633","12925527.85","7915.20","804.31","14999.55"
"2026-03-01 00:00:00+02","1600","12679991.27","7924.99","803.87","14994.27"
"2026-02-01 00:00:00+02","1411","11162611.59","7911.14","806.74","14999.95"
"2026-01-01 00:00:00+02","1502","11904862.86","7926.01","804.07","14992.85"
"2025-12-01 00:00:00+02","1617","12826817.46","7932.48","803.59","14987.87"
"2025-11-01 00:00:00+02","1452","11501471.84","7921.12","820.44","14993.73"
"2025-10-01 00:00:00+03","1448","11544477.56","7972.71","803.11","14995.84"
"2025-09-01 00:00:00+03","1398","11026369.01","7887.25","802.47","14997.06"
"2025-08-01 00:00:00+03","1364","10783915.79","7906.10","800.08","14991.35"
"2025-07-01 00:00:00+03","1357","10844901.75","7991.82","805.57","14995.97"
"2025-06-01 00:00:00+03","1348","10663250.24","7910.42","802.71","14992.97"
"2025-05-01 00:00:00+03","1286","10181918.45","7917.51","808.83","14999.97"
"2025-04-01 00:00:00+03","1287","9988642.58","7761.18","828.64","14980.55"
"2025-03-01 00:00:00+02","1242","9997332.47","8049.38","805.23","14996.41"
"2025-02-01 00:00:00+02","1132","9007941.76","7957.55","806.48","14999.50"
"2025-01-01 00:00:00+02","1194","9491617.88","7949.43","811.64","14964.16"
"2024-12-01 00:00:00+02","1184","9559549.47","8073.94","800.02","14981.82"
"2024-11-01 00:00:00+02","1085","8477511.14","7813.37","802.17","14969.21"
"2024-10-01 00:00:00+03","1083","8412368.08","7767.65","831.10","14993.35"
"2024-09-01 00:00:00+03","1050","8243523.58","7850.97","809.50","14987.67"
"2024-08-01 00:00:00+03","1095","8719304.58","7962.84","802.44","14990.63"
"2024-07-01 00:00:00+03","1002","7860675.31","7844.99","802.21","14998.79"
"2024-06-01 00:00:00+03","972","7713301.16","7935.50","801.49","14959.44"
"2024-05-01 00:00:00+03","1003","7965632.88","7941.81","820.31","14989.09"
"2024-04-01 00:00:00+03","956","7767736.62","8125.25","830.28","14986.78"
"2024-03-01 00:00:00+02","957","7504368.35","7841.56","833.10","14980.79"
"2024-02-01 00:00:00+02","818","6211668.87","7593.73","833.79","14996.64"
"2024-01-01 00:00:00+02","854","6661000.02","7799.77","800.12","14982.11"
"2023-12-01 00:00:00+02","823","6477531.46","7870.63","813.86","14992.31"
"2023-11-01 00:00:00+02","829","6482404.52","7819.55","807.38","14995.89"
"2023-10-01 00:00:00+03","867","6985889.71","8057.54","800.96","14990.63"
"2023-09-01 00:00:00+03","813","6635298.84","8161.50","800.08","14987.00"
"2023-08-01 00:00:00+03","808","6312680.08","7812.72","806.21","14995.82"
"2023-07-01 00:00:00+03","760","6127461.56","8062.45","808.77","14986.57"
"2023-06-01 00:00:00+03","723","5554842.46","7683.05","818.89","14995.85"
"2023-05-01 00:00:00+03","755","5945002.05","7874.17","821.10","14989.98"
"2023-04-01 00:00:00+03","618","4817455.61","7795.24","815.97","14968.57"
"2023-03-01 00:00:00+02","646","5108470.83","7907.85","853.74","14970.60"
"2023-02-01 00:00:00+02","595","4703039.87","7904.27","802.93","14965.94"
"2023-01-01 00:00:00+02","633","5018815.12","7928.62","861.48","14997.81"
"2022-12-01 00:00:00+02","637","5050265.20","7928.20","850.59","14946.21"
"2022-11-01 00:00:00+02","559","4347352.27","7777.02","807.50","14984.67"
"2022-10-01 00:00:00+03","599","4723389.76","7885.46","804.75","14987.16"
"2022-09-01 00:00:00+03","509","3909650.56","7681.04","805.78","14964.58"
"2022-08-01 00:00:00+03","522","4250060.07","8141.88","847.56","14996.59"
"2022-07-01 00:00:00+03","473","3703303.48","7829.39","849.12","14960.30"
"2022-06-01 00:00:00+03","457","3410038.47","7461.79","802.83","14995.56"
"2022-05-01 00:00:00+03","475","3754690.95","7904.61","860.40","14953.96"
"2022-04-01 00:00:00+03","412","3246607.79","7880.12","838.16","14999.48"
"2022-03-01 00:00:00+02","414","3416950.51","8253.50","921.55","14994.68"
"2022-02-01 00:00:00+02","366","2955136.96","8074.14","801.46","14998.24"
"2022-01-01 00:00:00+02","364","2932380.30","8055.99","822.67","14998.19"
"2021-12-01 00:00:00+02","397","3285979.84","8277.03","800.03","14993.72"
"2021-11-01 00:00:00+02","358","2874644.99","8029.73","915.95","14956.08"
"2021-10-01 00:00:00+03","336","2714166.75","8077.88","840.41","14999.04"
"2021-09-01 00:00:00+03","296","2352050.80","7946.12","838.83","14990.76"
"2021-08-01 00:00:00+03","323","2562855.56","7934.54","836.05","14994.27"
"2021-07-01 00:00:00+03","305","2473941.12","8111.28","828.03","14965.57"
"2021-06-01 00:00:00+03","265","2195376.87","8284.44","1043.93","14983.01"
"2021-05-01 00:00:00+03","249","1853949.18","7445.58","917.76","14933.46"
"2021-04-01 00:00:00+03","232","1817933.78","7835.92","881.65","14941.54"
"2021-03-01 00:00:00+02","235","1850176.21","7873.09","800.13","14962.56"
"2021-02-01 00:00:00+02","167","1350579.30","8087.30","947.41","14906.58"
"2021-01-01 00:00:00+02","188","1543153.06","8208.26","802.91","14965.56"
"2020-12-01 00:00:00+02","158","1354624.40","8573.57","991.99","14969.87"
"2020-11-01 00:00:00+02","158","1144644.23","7244.58","933.63","14550.37"
"2020-10-01 00:00:00+03","125","983368.35","7866.95","826.40","14997.17"
"2020-09-01 00:00:00+03","122","999221.04","8190.34","802.56","14974.81"
"2020-08-01 00:00:00+03","94","728608.19","7751.15","802.69","14732.95"
"2020-07-01 00:00:00+03","81","582804.27","7195.11","1073.96","14687.93"
"2020-06-01 00:00:00+03","70","501758.68","7167.98","827.56","14672.29"
"2020-05-01 00:00:00+03","65","467459.60","7191.69","1069.27","14876.55"
"2020-04-01 00:00:00+03","46","375127.73","8154.95","952.35","14839.82"
"2020-03-01 00:00:00+02","35","242189.66","6919.70","1733.42","14319.26"
"2020-02-01 00:00:00+02","16","102419.51","6401.22","1127.03","12703.33"
"2020-01-01 00:00:00+02","4","38497.41","9624.35","2827.44","12105.87"
